name,logm1,logm2,lograd1,lograd2
V1061 Cyg                 , 0.1079,-0.0308, 0.2082,-0.0114
CF Tau                    , 0.1079, 0.0973, 0.4467, 0.3113
AP And                    , 0.1062, 0.0973, 0.0911, 0.0775
VZ Hya                    , 0.1041, 0.0592, 0.1186, 0.0461
V2154 Cyg                 , 0.1035,-0.1225, 0.1694,-0.1407
V501 Her                  , 0.1035, 0.0833, 0.3014, 0.1793
AI Phe                    , 0.0960, 0.0782, 0.4642, 0.2636
EF Aqr                    , 0.0948,-0.0241, 0.1265,-0.0195
WOCS 40007                , 0.0920, 0.0358, 0.1458, 0.0406
WZ Oph                    , 0.0888, 0.0864, 0.1464, 0.1520
UX Men                    , 0.0874, 0.0747, 0.1294, 0.1052
FL Lyr                    , 0.0867,-0.0177, 0.1079,-0.0168
Kepler 1647               , 0.0866,-0.0142, 0.2529,-0.0149
LL Aqr                    , 0.0777, 0.0144, 0.1209, 0.0009
LV Her                    , 0.0766, 0.0681, 0.1329, 0.1183
V2080 Cyg                 , 0.0759, 0.0633, 0.2030, 0.2038
EW Ori                    , 0.0693, 0.0504, 0.0674, 0.0402
ZZ UMa                    , 0.0577,-0.0123, 0.1818, 0.0645
KIC 9970396               , 0.0569, 0.0086, 0.9031, 0.0492
KX Cnc                    , 0.0561, 0.0535, 0.0269, 0.0208
HP Dra                    , 0.0542, 0.0390, 0.1370, 0.0220
V785 Cep                  , 0.0426, 0.0338, 0.1535, 0.1377
V1094 Tau                 , 0.0400, 0.0052, 0.1495, 0.0439
V568 Lyr                  , 0.0361,-0.0822, 0.1452,-0.1072
V432 Aur                  , 0.0334, 0.0792, 0.0899, 0.3909
V636 Cen                  , 0.0220,-0.0685, 0.0077,-0.0809
Kepler-34                 , 0.0203, 0.0089, 0.0651, 0.0385
KIC 7177553               , 0.0183,-0.0061,-0.0269,-0.0264
CV Boo                    , 0.0137,-0.0141, 0.1011, 0.0693
V1174 Ori                 , 0.0039,-0.1361, 0.1268, 0.0273
V530 Ori                  , 0.0016,-0.2251,-0.0088,-0.2311
V565 Lyr                  ,-0.0020,-0.0318, 0.0418,-0.0129
IM Vir                    ,-0.0083,-0.1776, 0.0257,-0.1669
Tyc 5227-1023-1           ,-0.0195,-0.0762, 0.1424,-0.0101
HP Aur                    ,-0.0203,-0.0918, 0.0119,-0.1103
Kepler-453                ,-0.0250,-0.7097,-0.0794,-0.6676
CG Cyg                    ,-0.0269,-0.0915,-0.0506,-0.0757
RW Lac                    ,-0.0325,-0.0605, 0.0741,-0.0159
KIC 6131659               ,-0.0353,-0.1643,-0.0555,-0.1942
HS Aur                    ,-0.0458,-0.0560, 0.0017,-0.0590
Kepler-35                 ,-0.0517,-0.0918, 0.0122,-0.1045
47 Tuc V69                ,-0.0574,-0.0661, 0.1189, 0.0651
ASAS J045304-0700.4       ,-0.0789,-0.0820,-0.0716,-0.0794
NGC 6362 V40              ,-0.0790,-0.0998, 0.1223,-0.0013
ASAS J212954-5620.1       ,-0.0794,-0.1530,-0.0731,-0.1439
NGC 6362 V41              ,-0.0854,-0.1379, 0.0310,-0.1363
M4 V65                    ,-0.0950,-0.2182, 0.0596,-0.2140
V1236 Tau                 ,-0.1040,-0.1135,-0.1035,-0.0878
M4 V66                    ,-0.1056,-0.1283,-0.0293,-0.0810
M4 V69                    ,-0.1155,-0.1380,-0.0627,-0.0929
1SWASP J093010.78+533859.5,-0.1158,-0.1911,-0.1209,-0.1290
V404 CMa                  ,-0.1349,-0.1791,-0.1427,-0.1675
M55 V54                   ,-0.1391,-0.2557, 0.0026,-0.2774
ASAS J082552-1622.8       ,-0.1531,-0.1629,-0.1586,-0.1555
GU Boo                    ,-0.2147,-0.2226,-0.2055,-0.2076
YY Gem                    ,-0.2237,-0.2212,-0.2079,-0.2193
MG1-506664                ,-0.2336,-0.2644,-0.2518,-0.2899
MG1-116309                ,-0.2464,-0.2741,-0.2581,-0.2741
MG1-78457                 ,-0.2782,-0.3089,-0.2967,-0.3270
MG1-646680                ,-0.3019,-0.3536,-0.3401,-0.3696
MG1-2056316               ,-0.3288,-0.4179,-0.3556,-0.4271
CU Cnc                    ,-0.3632,-0.4001,-0.3648,-0.4080
PTFEB 132.707+19.810      ,-0.4031,-0.6782,-0.4401,-0.5654
LSPM J1112+7626           ,-0.4038,-0.5615,-0.4134,-0.5261
UScoCTIO 5                ,-0.4768,-0.4949,-0.0645,-0.0696
CM Dra                    ,-0.6364,-0.6694,-0.5962,-0.6205
EPIC 203710387            ,-0.9274,-0.9682,-0.3768,-0.3507
