Star,RA (2000),Dec(2000),Umag,Bmag,Vmag,SpType,
 OX Tau                      ,56.541208,24.673631,14.9,16.72,15.2,M:             ,
 PT Tau                      ,56.705025,24.600036,15,16.63,15.1,M:             ,
 V793 Tau                    ,56.918242,24.301972,14.4,15.33,14.02,M:             ,
 V339 Tau                    ,57.017887,22.855522,13.5,14.32,13,M:             ,
 V610 Tau                    ,55.515967,24.712622,14.3,14.82,13.46,M:             ,
 V538 Tau                    ,56.84679,22.24453,15.5,15.93,14.54,M:             ,
 V796 Tau                    ,57.18929,23.33894,14.4,14.74,13.52,M:             ,
 V646 Tau                    ,56.825587,24.036506,15.1,15.42,14.02,M:             ,
 V353 Tau                    ,57.15683,22.76933,15.7,16.01,14.57,M:             ,
 MM Tau                      ,55.902487,23.453958,14,14,14.51,M:             ,
 NP Tau                      ,56.116704,24.171558,15.965,13.8,13.46,M:             ,
 MO Tau                      ,55.925558,24.573172,19.78,17.02,15.4,M:             ,
 V643 Tau                    ,56.667771,24.931028,14.8,15.52,14.1,M0             ,
Cl* Melotte 22 DH 184          ,55.414904,23.763108,17.272,16.025,14.583,M0             ,
Cl* Melotte 22 SK 671          ,55.674571,24.199533,18.592,15.933,14.5,M0             ,
 V377 Tau                    ,57.81588,23.28228,15.1,16.27,14.84,M0.7           ,
 V613 Tau                    ,55.62258,22.79061,14.8,16.66,15.16,M1             ,
 LO Tau                      ,55.667613,23.989381,11.6,17.07,15.72,M2.2           ,
 LV Tau                      ,55.804425,24.655411,20.056,17.427,15.994,M2.2           ,
 V372 Tau                    ,57.55108,23.99592,15.1,17.12,15.49,M2.5e          ,
 V497 Tau                    ,55.511929,24.210111,15.2,17.857,16.404,M2.7           ,
 V371 Tau                    ,57.55379,24.35189,14,16.63,15.07,M2e            ,
 V361 Tau                    ,57.387617,24.534106,13.9,18.1,16.58,M3.2           ,
Cl* Melotte 22 SRS 80212       ,55.704592,24.171025,21.337,18.559,16.953,M3.2           ,
 LT Tau                      ,55.735571,24.082808,14.8,17.797,16.238,M3.5           ,
 V532 Tau                    ,56.690704,25.458467,15.8,18.43,16.87,M3.5           ,
 V349 Tau                    ,57.12937,24.28153,14.1,17.56,15.97,M3V:           ,
 V739 Tau                    ,55.987472,23.951664,12.8,18.99,17.93,M4.2           ,
 II Tau                      ,57.43021,24.31797,12.4,15.798,14.185,M4.6V          ,
 OW Tau                      ,56.453917,23.852881,16.1,15.74,14.27,Me             ,
