HJD-2450000,mag,error
2182.521837,14.720,0.005
2172.666516,14.716,0.005
2177.598093,14.859,0.005
2179.616538,14.831,0.005
2181.598190,14.729,0.005
2171.786073,14.690,0.005
2173.760128,14.737,0.005
2175.822369,14.801,0.005
2178.753186,14.865,0.005
2180.742908,14.781,0.005
2182.741888,14.711,0.005
2172.875174,14.708,0.005
2175.895720,14.790,0.005
2180.858868,14.792,0.005
2181.860970,14.730,0.005
2173.016178,14.712,0.005
2177.969712,14.860,0.005
2182.960159,14.692,0.005
2173.112673,14.706,0.005
2174.251980,14.732,0.005
2177.287837,14.875,0.005
2180.256753,14.796,0.005
2175.370753,14.783,0.005
2180.400368,14.804,0.005
2173.482630,14.708,0.005
2179.509242,14.839,0.005
2175.607303,14.802,0.005
2178.642092,14.849,0.005
2175.737150,14.801,0.005
2191.586087,14.820,0.005
2187.722959,14.819,0.006
2184.821577,14.690,0.005
2187.788832,14.806,0.005
2192.807409,14.758,0.005
2193.622692,14.709,0.005
2184.871546,14.691,0.005
2185.891925,14.716,0.005
2188.909979,14.838,0.005
2189.908520,14.872,0.005
2192.855122,14.764,0.005
2193.837996,14.718,0.005
2194.852084,14.685,0.005
2185.012075,14.676,0.005
2188.978820,14.843,0.005
2190.993111,14.862,0.005
2193.028647,14.755,0.005
2184.063385,14.686,0.005
2189.082080,14.847,0.005
2191.150256,14.863,0.005
2184.223972,14.664,0.005
2191.237019,14.867,0.005
2194.234183,14.692,0.005
2184.397023,14.657,0.005
2186.348645,14.711,0.005
2190.248805,14.884,0.005
2193.275285,14.741,0.005
2195.281862,14.669,0.005
2185.357582,14.701,0.005
2190.380907,14.883,0.005
2193.365490,14.751,0.005
2195.389988,14.710,0.005
2186.448701,14.732,0.005
2190.450340,14.861,0.005
2191.529472,14.845,0.005
2193.495812,14.752,0.005
2183.622213,14.674,0.005
2185.555083,14.699,0.005
2186.556709,14.753,0.005
2187.570679,14.780,0.005
2188.610168,14.821,0.005
2192.629255,14.789,0.005
2194.652685,14.693,0.005
2185.736797,14.730,0.005
2187.682129,14.793,0.005
2189.730603,14.882,0.005
2191.720563,14.831,0.005
2185.802670,14.704,0.005
2187.832629,14.791,0.005
2189.829472,14.856,0.005
2191.834505,14.829,0.005
2193.787552,14.724,0.005
2184.890062,14.694,0.005
2186.887380,14.769,0.005
2188.879713,14.826,0.005
2190.884984,14.854,0.005
2192.896664,14.782,0.005
2194.902528,14.687,0.005
2185.034389,14.684,0.005
2187.040846,14.755,0.005
2189.034248,14.866,0.005
2192.041738,14.804,0.005
2194.064100,14.681,0.005
2185.196282,14.714,0.006
2188.195583,14.824,0.005
2191.174113,14.839,0.005
2194.214718,14.696,0.005
