Wavelength,Flux
4096.6,2.44E-12
4098,2.27E-12
4099.4,2.06E-12
4100.8,1.84E-12
4102.2,1.68E-12
4103.6,1.65E-12
4105,1.81E-12
4106.4,2.07E-12
4107.8,2.26E-12
4109.2,2.40E-12
4110.6,2.51E-12
4112,2.59E-12
4113.4,2.67E-12
4114.8,2.75E-12
4116.2,2.83E-12
4117.6,2.91E-12
4119,2.92E-12
4120.4,2.94E-12
4121.8,2.95E-12
4123.2,2.96E-12
4124.6,2.95E-12
4126,2.96E-12
4127.4,2.95E-12
4128.8,2.93E-12
4130.2,2.93E-12
4131.6,2.93E-12
4133,2.94E-12
4134.4,2.97E-12
4135.8,3.04E-12
4137.2,3.11E-12
4138.6,3.17E-12
4140,3.23E-12
4141.4,3.25E-12
4142.8,3.18E-12
4144.2,3.11E-12
4145.6,3.10E-12
4147,3.14E-12
4148.4,3.19E-12
4149.8,3.21E-12
4151.2,3.20E-12
4152.6,3.17E-12
4154,3.13E-12
4155.4,3.07E-12
4156.8,3.02E-12
4158.2,2.99E-12
4159.6,3.02E-12
4161,3.09E-12
4162.4,3.15E-12
4163.8,3.20E-12
4165.2,3.22E-12
4166.6,3.20E-12
4168,3.12E-12
4169.4,3.07E-12
4170.8,3.06E-12
4172.2,2.99E-12
4173.6,2.89E-12
4175,2.86E-12
4176.4,2.89E-12
4177.8,2.92E-12
4179.2,2.94E-12
4180.6,2.98E-12
4182,3.02E-12
4183.4,2.99E-12
4184.8,2.97E-12
4186.2,3.00E-12
4187.6,3.02E-12
4189,3.02E-12
4190.4,3.03E-12
4191.8,3.07E-12
4193.2,3.10E-12
4194.6,3.11E-12
4196,3.08E-12
4197.4,3.02E-12
4198.8,2.94E-12
4200.2,2.92E-12
4201.6,2.96E-12
4203,3.01E-12
4204.4,3.04E-12
4205.8,3.07E-12
4207.2,3.10E-12
4208.6,3.12E-12
4210,3.11E-12
4211.4,3.15E-12
4212.8,3.15E-12
4214.2,3.09E-12
4215.6,3.01E-12
4217,3.00E-12
4218.4,3.03E-12
4219.8,3.08E-12
4221.2,3.10E-12
4222.6,3.08E-12
4224,3.02E-12
4225.4,2.92E-12
4226.8,2.80E-12
4228.2,2.78E-12
4229.6,2.89E-12
4231,3.02E-12
4232.4,3.10E-12
4233.8,3.01E-12
4235.2,2.98E-12
4236.6,2.97E-12
4238,2.96E-12
4239.4,2.97E-12
4240.8,2.97E-12
4242.2,3.00E-12
4243.6,3.02E-12
4245,3.01E-12
4246.4,3.01E-12
4247.8,2.97E-12
4249.2,2.96E-12
4250.6,2.96E-12
4252,2.96E-12
4253.4,2.99E-12
4254.8,3.01E-12
4256.2,3.02E-12
4257.6,3.03E-12
4259,2.98E-12
4260.4,2.93E-12
4261.8,2.91E-12
4263.2,2.99E-12
4264.6,3.05E-12
4266,3.07E-12
4267.4,3.08E-12
4268.8,3.06E-12
4270.2,3.00E-12
4271.6,2.93E-12
4273,2.88E-12
4274.4,2.88E-12
4275.8,2.94E-12
4277.2,3.00E-12
4278.6,3.03E-12
4280,3.04E-12
4281.4,3.03E-12
4282.8,3.01E-12
4284.2,3.00E-12
4285.6,3.01E-12
4287,3.00E-12
4288.4,2.94E-12
4289.8,2.83E-12
4291.2,2.77E-12
4292.6,2.80E-12
4294,2.87E-12
4295.4,2.88E-12
4296.8,2.86E-12
4298.2,2.81E-12
4299.6,2.71E-12
4301,2.64E-12
4302.4,2.64E-12
4303.8,2.68E-12
4305.2,2.71E-12
4306.6,2.72E-12
4308,2.69E-12
4309.4,2.69E-12
4310.8,2.74E-12
4312.2,2.79E-12
4313.6,2.77E-12
4315,2.75E-12
4316.4,2.75E-12
4317.8,2.77E-12
4319.2,2.76E-12
4320.6,2.75E-12
4322,2.72E-12
4323.4,2.68E-12
4324.8,2.60E-12
4326.2,2.50E-12
4327.6,2.47E-12
4329,2.51E-12
4330.4,2.55E-12
4331.8,2.50E-12
4333.2,2.44E-12
4334.6,2.35E-12
4336,2.22E-12
4337.4,2.02E-12
4338.8,1.78E-12
4340.2,1.58E-12
4341.6,1.48E-12
4343,1.58E-12
4344.4,1.77E-12
4345.8,1.96E-12
4347.2,2.13E-12
4348.6,2.26E-12
4350,2.32E-12
4351.4,2.35E-12
4352.8,2.38E-12
4354.2,2.45E-12
4355.6,2.55E-12
4357,2.65E-12
4358.4,2.71E-12
4359.8,2.73E-12
4361.2,2.79E-12
4362.6,2.81E-12
4364,2.83E-12
4365.4,2.85E-12
4366.8,2.85E-12
4368.2,2.81E-12
4369.6,2.78E-12
4371,2.76E-12
4372.4,2.79E-12
4373.8,2.80E-12
4375.2,2.76E-12
4376.6,2.75E-12
